ID,name_of_politician,verified,severity_of_harassment,type_of_account
1,Chrystia Freeland,No,Neutral,Anonymous
2,Chrystia Freeland,No,Neutral,Spammers
3,Chrystia Freeland,No,Questioning Authority,Personal
4,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
5,Chrystia Freeland,Yes,Questioning Authority,Personal
6,Chrystia Freeland,No,Questioning Authority,Personal
7,Chrystia Freeland,No,Questioning Authority,Spammers
8,Chrystia Freeland,No,Questioning Authority,Spammers
9,Chrystia Freeland,No,Name-calling/Gender insults,Personal
10,Chrystia Freeland,No,Neutral,Spammers
11,Chrystia Freeland,No,Vicious language,Spammers
12,Chrystia Freeland,No,Neutral,Anonymous
13,Chrystia Freeland,No,Questioning Authority,Anonymous
14,Chrystia Freeland,No,Questioning Authority,Anonymous
15,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
16,Chrystia Freeland,No,Questioning Authority,Personal
17,Chrystia Freeland,No,Questioning Authority,Anonymous
18,Chrystia Freeland,Yes,Questioning Authority,Spammers
19,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
20,Chrystia Freeland,Yes,Questioning Authority,Spammers
21,Chrystia Freeland,No,Questioning Authority,Spammers
22,Chrystia Freeland,No,Questioning Authority,Spammers
23,Chrystia Freeland,Yes,Questioning Authority,Spammers
24,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
25,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
26,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
27,Chrystia Freeland,No,Questioning Authority,Spammers
28,Chrystia Freeland,Yes,Questioning Authority,Personal
29,Chrystia Freeland,Yes,Name-calling/Gender insults,Personal
30,Chrystia Freeland,No,Questioning Authority,Spammers
31,Chrystia Freeland,Yes,Questioning Authority,Anonymous
32,Chrystia Freeland,Yes,Questioning Authority,Personal
33,Chrystia Freeland,No,Neutral,Spammers
34,Chrystia Freeland,No,Neutral,Spammers
35,Chrystia Freeland,No,Questioning Authority,Spammers
36,Chrystia Freeland,No,Name-calling/Gender insults,Anonymous
37,Chrystia Freeland,Yes,Questioning Authority,Personal
38,Chrystia Freeland,No,Questioning Authority,Spammers
39,Chrystia Freeland,No,Questioning Authority,Spammers
40,Chrystia Freeland,No,Name-calling/Gender insults,Spammers
41,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
42,Chrystia Freeland,Yes,Name-calling/Gender insults,Spammers
43,Chrystia Freeland,Yes,Questioning Authority,Spammers
44,Chrystia Freeland,No,Questioning Authority,Spammers
45,Chrystia Freeland,No,Questioning Authority,Spammers
46,Chrystia Freeland,No,Questioning Authority,Spammers
47,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
48,Chrystia Freeland,Yes,Hate speech,Spammers
49,Chrystia Freeland,Yes,Name-calling/Gender insults,Anonymous
