id,severity_of_harassment,severity_of_harassment_2,severity_of_harassment_3
1,2,1,1
2,3,3,2
3,3,3,7
4,2,2,2
5,3,3,3
6,3,4,2
7,3,3,4
8,4,4,4
9,3,3,2
10,4,5,3
11,5,5,5
12,3,2,3
13,4,3,2
14,4,2,3
15,3,3,3
16,4,5,7
17,3,3,7
18,3,5,3
19,3,2,2
20,4,2,3
21,4,5,5
22,2,4,7
23,2,2,2
24,6,2,2
25,4,5,3
26,3,2,2
27,2,1,1
28,6,6,6
29,2,2,2
30,3,3,3
31,2,2,2
32,2,2,2
33,3,4,3
34,2,2,2
35,3,3,3
36,3,7,3
37,4,6,7
38,4,6,7
39,3,2,3
40,2,1,1
41,3,3,3
42,3,3,3
43,4,6,4
44,3,3,2
45,2,2,2
46,4,4,3
47,4,4,4
48,3,7,3
49,3,3,3
50,4,3,3
51,2,2,2
52,2,2,2
53,3,3,3
54,3,2,2
55,4,4,7
56,3,5,4
57,5,1,5
58,3,2,2
59,3,7,3
60,4,2,3
61,3,2,2
62,3,2,2
63,3,3,3
64,2,2,2
65,3,3,3
66,3,3,3
67,3,2,2
68,3,7,3
69,3,2,2
70,3,3,3
71,3,7,2
72,3,3,3
73,3,2,3
74,3,3,2
75,3,3,3
76,3,2,3
77,3,2,2
78,3,3,3
79,3,4,2
80,3,3,2
81,3,3,2
82,3,3,3
83,3,4,3
84,3,3,4
85,2,2,3
86,4,3,4
87,4,3,3
88,4,3,3
89,3,2,2
90,3,5,4
91,4,2,2
92,3,4,4
93,3,3,3
94,4,4,3
95,4,3,3
96,4,5,3
97,3,2,2
98,3,2,2
99,2,2,3
100,3,3,3
101,2,2,2
102,3,2,2
103,3,2,2
104,4,3,3
105,4,5,3
106,2,2,2
107,4,7,3
108,3,2,2
109,4,4,3
110,3,3,3
111,3,3,1
112,3,3,4
113,3,3,4
114,2,2,2
115,3,2,3
116,5,4,5
117,3,4,2
118,4,3,3
119,2,3,3
120,4,3,3
121,3,2,2
122,3,7,3
123,3,2,3
124,3,3,2
125,3,2,2
126,2,2,2
127,4,4,3
128,3,3,3
129,3,2,2
130,2,2,2
131,4,4,7
132,2,2,2
133,2,1,1
134,3,3,2
135,5,5,5
136,5,3,3
137,3,3,3
138,4,3,3
139,4,3,3
140,3,2,2
141,2,2,3
142,3,2,3
143,2,2,2
144,5,4,5
145,3,3,2
146,3,3,3
147,3,4,4
148,4,4,4
149,3,3,3
150,4,3,3
151,3,2,2
152,3,4,3
153,3,3,3
154,3,4,2
155,3,2,2
156,2,7,3
157,3,3,3
158,2,5,3
159,3,3,3
160,3,3,4
161,3,3,3
162,3,4,4
163,2,2,2
164,5,3,4
165,2,2,3
166,4,3,3
167,4,3,3
168,3,3,3
169,3,4,4
170,4,6,3
171,3,5,3
172,2,2,2
173,4,5,5
174,4,4,4
175,5,5,5
176,3,7,7
177,2,3,2
178,3,3,2
179,3,2,2
180,2,3,3
181,3,3,3
182,3,3,3
183,3,3,3
184,4,4,7
185,3,5,2
186,4,5,4
187,3,4,4
188,2,1,1
189,4,4,4
190,3,2,2
191,3,3,3
192,3,2,2
193,4,3,2
194,3,3,3
195,3,4,3
196,4,5,4
197,4,5,4
198,3,4,3
199,3,3,3
200,2,2,2
201,3,3,7
202,3,6,3
203,3,2,2
204,7,4,4
205,2,2,3
206,3,5,3
207,3,3,3
208,3,2,2
209,2,4,1
210,3,2,2
211,2,1,2
212,3,3,3
213,3,4,3
214,3,2,3
215,2,2,3
216,3,4,3
217,3,2,2
218,2,2,2
219,4,5,3
220,4,7,5
221,3,2,3
222,4,4,4
223,3,4,3
224,3,2,7
225,3,4,2
226,3,3,3
227,3,2,2
228,3,2,2
229,3,1,2
230,3,3,3
231,3,4,3
232,3,2,3
233,3,3,3
234,3,2,2
235,4,4,3
236,3,3,2
237,3,3,3
238,3,3,3
239,4,3,3
240,2,4,6
241,3,2,3
242,1,1,1
243,3,2,2
244,3,2,3
245,4,5,3
246,4,4,4
247,3,2,3
248,3,2,3
249,3,2,3
250,3,2,2
251,1,1,1
252,3,2,2
253,4,4,4
254,3,2,3
255,3,3,3
256,3,3,3
257,4,3,3
258,3,3,3
259,3,4,4
260,4,5,3
261,3,3,3
262,4,3,3
263,3,2,3
264,2,1,3
265,4,4,4
266,3,3,3
267,3,3,3
268,3,3,3
269,7,4,3
270,4,4,3
271,4,3,4
272,3,2,2
273,3,3,3
274,3,2,3
275,4,3,7
276,4,3,2
277,4,3,5
278,6,6,6
279,5,5,5
280,3,2,3
281,4,5,3
282,3,3,3
283,3,4,7
284,3,2,3
285,5,3,3
286,3,3,3
287,2,1,2
288,4,3,3
289,4,3,3
290,3,2,3
291,3,3,3
292,3,3,3
293,5,3,5
294,3,2,4
295,4,3,4
296,2,2,2
297,3,2,2
298,2,3,3
299,4,3,3
300,3,2,3
301,5,3,5
302,5,4,5
303,3,2,2
304,3,2,2
305,3,3,5
306,3,3,2
307,3,3,3
308,3,2,3
309,3,3,3
310,3,3,2
311,3,3,3
312,4,3,3
313,3,2,2
314,3,3,3
315,3,2,2
316,4,4,4
317,4,3,3
318,4,3,3
319,4,3,3
320,2,4,3
321,3,3,3
322,4,2,3
323,3,7,7
324,3,7,3
325,3,1,2
326,3,3,3
327,4,3,5
328,3,4,3
329,3,2,2
330,3,3,3
331,3,4,2
332,3,4,3
333,2,2,2
334,4,3,3
335,3,3,3
336,4,4,4
337,3,3,3
338,3,3,3
339,3,3,3
340,4,2,2
341,3,4,4
342,3,2,2
343,2,2,2
344,3,3,3
345,4,3,3
346,4,4,4
347,2,1,1
348,3,4,4
349,4,5,4
350,4,3,3
351,3,7,3
352,5,3,5
353,3,2,3
354,5,4,5
355,2,2,2
356,2,2,2
357,4,3,4
358,3,3,3
359,2,2,3
360,7,2,7
361,2,2,3
362,4,3,3
363,2,2,2
364,3,2,3
365,3,3,3
366,4,3,3
367,3,2,3
368,3,2,2
369,3,2,3
370,4,5,3
371,3,3,3
372,2,4,6
373,3,4,3
374,4,3,4
375,4,3,3
376,3,3,3
377,3,2,3
378,4,4,5
379,3,2,2
380,4,3,3
381,4,3,4
382,3,2,3
383,3,2,2
384,3,2,2
385,3,3,3
386,3,4,3
387,3,3,3
388,5,3,5
389,2,2,3
390,3,3,3
391,4,3,3
392,2,4,4
393,2,2,3
394,2,2,2
395,3,2,3
396,3,2,3
397,3,2,3
398,3,4,3
399,4,4,4
400,3,2,2
401,3,3,3
402,3,4,3
403,4,6,6
404,6,7,3
405,4,3,3
406,4,4,4
407,3,2,2
408,2,2,2
409,2,2,2
410,3,3,3
411,2,2,5
412,3,2,3
413,5,5,5
